paper-URL,paper-title,paper-truncated-abstract,paper-pdf-link
https://dl.acm.org/doi/10.1145/3695053.3731101,WSC-LLM: Efficient LLM Service and Architecture Co-exploration for Wafer-scale Chips,"The
 deployment of large language models (LLMs) imposes significant demands 
on computing, memory, and communication resources. Wafer-scale 
technology enables the high-density integration of multiple single-die 
chips with high-speed Die-to-Die (D2D) ...",https://dl.acm.org/doi/pdf/10.1145/3695053.3731101
https://dl.acm.org/doi/10.1145/3695053.3731053,LightML: A Photonic Accelerator for Efficient General Purpose Machine Learning,"The
 rapid integration of AI technologies into everyday life across sectors 
such as healthcare, autonomous driving, and smart home applications 
requires extensive computational resources, placing strain on server 
infrastructure and incurring significant ...",https://dl.acm.org/doi/pdf/10.1145/3695053.3731053
https://dl.acm.org/doi/10.1145/3695053.3731055,FRED: A Wafer-scale Fabric for 3D Parallel DNN Training,"Wafer-
scale systems are an emerging technology that tightly integrates 
high-end accelerator chiplets with high-speed wafer-scale interconnects,
 enabling low-latency and high-bandwidth connectivity. This makes them a
 promising platform for deep neural ...",https://dl.acm.org/doi/pdf/10.1145/3695053.3731055
https://dl.acm.org/doi/10.1145/3695053.3731045,PD Constraint-aware Physical/Logical Topology Co-Design for Network on Wafer,"As
 cluster scales for LLM training expand, waferscale chips, characterized
 by the high integration density and bandwidth, emerge as a promising 
approach to enhancing training performance. The role of Network on Wafer
 (NoW) is becoming increasingly ...",https://dl.acm.org/doi/pdf/10.1145/3695053.3731045
https://dl.acm.org/doi/10.1145/3695053.3731033,Finesse: An Agile Design Framework for Pairing-based Cryptography via Software/Hardware Co-Design,"Pairing-
based cryptography (PBC) is crucial in modern cryptographic 
applications. With the rapid advancement of adversarial research and the
 growing diversity of application requirements, PBC accelerators need 
regular updates in algorithms, parameter ...",
https://dl.acm.org/doi/10.1145/3695053.3731048,Cassandra: Efficient Enforcement of Sequential Execution for Cryptographic Programs,"Constant-
time programming is a widely deployed approach to harden cryptographic 
programs against side channel attacks. However, modern processors often 
violate the underlying assumptions of standard constant-time policies by
 transiently executing ...",https://dl.acm.org/doi/pdf/10.1145/3695053.3731048
https://dl.acm.org/doi/10.1145/3695053.3731407,FAST:An FHE Accelerator for Scalable-parallelism with Tunable-bit,"Fully
 Homomorphic Encryption (FHE) enables direct computation on encrypted 
data, providing substantial security advantages in cloud-based modern 
society. However, FHE suffers from significant computational overhead 
compared to plaintext computation, ...",https://dl.acm.org/doi/pdf/10.1145/3695053.3731407
https://dl.acm.org/doi/10.1145/3695053.3731408,Neo: Towards Efficient Fully Homomorphic Encryption Acceleration using Tensor Core,"Fully
 Homomorphic Encryption (FHE) is an emerging cryptographic technique for
 privacy-preserving computation, which enables computations on the 
encrypted data. Nonetheless, the massive computational demands of FHE 
prevent its further application to real-...",https://dl.acm.org/doi/pdf/10.1145/3695053.3731408
https://dl.acm.org/doi/10.1145/3695053.3731011,Heliostat: Harnessing Ray Tracing Accelerators for Page Table Walks,"This
 paper introduces Heliostat, which enhances page translation bandwidth 
on GPUs by harnessing underutilized ray tracing accelerators (RTAs). 
While most existing studies focused on better utilizing the provided 
translation bandwidth, this paper ...",https://dl.acm.org/doi/pdf/10.1145/3695053.3731011
https://dl.acm.org/doi/10.1145/3695053.3731047,Forest: Access-aware GPU UVM Management,"With
 GPU unified virtual memory (UVM), CPU and GPU can share a flat virtual 
address space. UVM enables the GPUs to utilize the larger CPU system 
memory as an expanded memory space. However, UVM’s on-demand page 
migration is accompanied by expensive page ...",https://dl.acm.org/doi/pdf/10.1145/3695053.3731047
https://dl.acm.org/doi/10.1145/3695053.3731100,Avant-Garde: Empowering GPUs with Scaled Numeric Formats,"The
 escalating computational and memory demands of deep neural networks 
have outpaced chip density improvements, making arithmetic density a key
 bottleneck for GPUs. Scaled numeric formats, such as FP8 and 
Microscaling (MX), improve arithmetic density by ...",https://dl.acm.org/doi/pdf/10.1145/3695053.3731100
https://dl.acm.org/doi/10.1145/3695053.3731118,CoopRT: Accelerating BVH Traversal for Ray Tracing via Cooperative Threads,"Ray
 Tracing is a rendering technique to simulate the way light interacts 
with objects to create realistic images. It has become prominent thanks 
to the latest hardware support on Graphics Processing Units (GPUs), 
i.e., the Ray-Tracing (RT) unit, specially ...",
https://dl.acm.org/doi/10.1145/3695053.3730995,The XOR Cache: A Catalyst for Compression,"Modern
 computing systems allocate significant amounts of resources for 
caching, especially for the last level cache (LLC). We observe that 
there is untapped potential for compression by leveraging redundancy due
 to private caching and inclusion that are ...",https://dl.acm.org/doi/pdf/10.1145/3695053.3730995
https://dl.acm.org/doi/10.1145/3695053.3731008,H2-LLM: Hardware-Dataflow Co-Exploration for Heterogeneous Hybrid-Bonding-based Low-Batch LLM Inference,"Low-
batch large language model (LLM) inference has been extensively applied 
to edge-side generative tasks, such as personal chat helper, virtual 
assistant, reception bot, private edge server, etc. To efficiently 
handle both prefill and decoding stages in ...",
https://dl.acm.org/doi/10.1145/3695053.3731102,Precise exceptions in relaxed architectures,"To manage exceptions, software relies on a key architectural guarantee,precision:
 that exceptions appear to execute between instructions. However, this 
definition, dating back over 60 years, fundamentally assumes a 
sequential programmers model. Modern ...",https://dl.acm.org/doi/pdf/10.1145/3695053.3731102
https://dl.acm.org/doi/10.1145/3695053.3731038,Rethinking Prefetching for Intermittent Computing,"Prefetching
 improves performance by reducing cache misses. However, conventional 
prefetchers are too aggressive to serve batteryless energy harvesting 
systems (EHSs) where energy efficiency is the utmost design priority due
 to weak input energy and the ...",https://dl.acm.org/doi/pdf/10.1145/3695053.3731038
https://dl.acm.org/doi/10.1145/3695053.3731036,Hardware-aware Calibration Protocol for Quantum Computers,"Calibration
 of a quantum computer is the process of optimizing its control 
parameters to ensure the accurate implementation of quantum gates. It 
remains a critical challenge in scaling quantum computers. Existing 
calibration methods take a generalized ...",
https://dl.acm.org/doi/10.1145/3695053.3731069,Constant-Rate Entanglement Distillation for Fast Quantum Interconnects,"Distributed
 quantum computing allows the modular construction of large-scale 
quantum computers and enables new protocols for blind quantum 
computation. However, such applications in the large-scale, 
fault-tolerant regime place stringent demands on the ...",
https://dl.acm.org/doi/10.1145/3695053.3731084,S-SYNC: Shuttle and Swap Co-Optimization in Quantum Charge-Coupled Devices,"The
 Quantum Charge-Coupled Device (QCCD) architecture is a modular design 
to expand trapped-ion quantum computer that relies on the coherent 
shuttling of qubits across an array of segmented electrodes. Leveraging 
trapped ions for their long coherence ...",
https://dl.acm.org/doi/10.1145/3695053.3731086,ARTERY: Fast Quantum Feedback using Branch Prediction,"Quantum
 feedback makes the execution of dynamic quantum circuits possible and 
is widely used in quantum algorithms. However, due to the inherent 
computation and transmission cost, the latency of the quantum feedback 
becomes a considerable burden on the ...",
https://dl.acm.org/doi/10.1145/3695053.3731087,Qtenon: Towards Low-Latency Architecture Integration for Accelerating Hybrid Quantum-Classical Computing,"Hybrid
 quantum-classical algorithms have shown great promise in leveraging the
 computational potential of quantum systems. However, the efficiency of 
these algorithms is severely constrained by the limitations of current 
quantum hardware architectures. ...",https://dl.acm.org/doi/pdf/10.1145/3695053.3731087
https://dl.acm.org/doi/10.1145/3695053.3731097,HiPER: Hierarchically-Composed Processing for Efficient Robot Learning-Based Control,"Learning-
Based Model Predictive Control (LMPC) is a class of algorithms that 
enhances Model Predictive Control (MPC) by including machine learning 
methods, improving robot navigation in complex environments. However, 
the combination of machine learning ...",https://dl.acm.org/doi/pdf/10.1145/3695053.3731097
https://dl.acm.org/doi/10.1145/3695053.3731099,Dadu-Corki: Algorithm-Architecture Co-Design for Embodied AI-powered Robotic Manipulation,"Embodied
 AI robots have the potential to fundamentally improve the way human 
beings live and manufacture. Continued progress in the burgeoning field 
of using large language models to control robots depends critically on 
an efficient computing substrate, ...",https://dl.acm.org/doi/pdf/10.1145/3695053.3731099
https://dl.acm.org/doi/10.1145/3695053.3731110,"Process
 Only Where You Look: Hardware and Algorithm Co-optimization for 
Efficient Gaze-Tracked Foveated Rendering in Virtual Reality","Virtual
 reality (VR) plays a crucial role in advancing immersive, interactive 
experiences that transform learning, work, and entertainment by 
enhancing user engagement and expanding possibilities across various 
fields. Image rendering is one of the most ...",
